TIME,安徽,北京,重庆,福建,甘肃,广东,广西,贵州,海南,河北,黑龙江,河南,香港,湖北,湖南,内蒙古,江苏,江西,吉林,辽宁,澳门,宁夏,青海,山西,山东,上海,陕西,四川,天津,Tibet,新疆,云南,浙江
2020/6/5,991,594,579,358,139,1601,254,147,169,328,947,1276,1102,68135,1019,235,653,932,155,149,45,75,18,309,792,677,198,578,192,1,76,185,1268
2020/6/6,991,594,579,359,139,1602,254,147,170,328,947,1276,1105,68135,1019,235,653,932,155,149,45,75,18,311,792,677,198,578,193,1,76,185,1268
2020/6/7,991,594,579,359,139,1602,254,147,170,328,947,1276,1106,68135,1019,235,653,932,155,149,45,75,18,311,792,678,198,581,193,1,76,185,1268
2020/6/8,991,594,579,359,139,1604,254,147,170,328,947,1276,1107,68135,1019,235,653,932,155,149,45,75,18,311,792,678,198,582,193,1,76,185,1268
2020/6/9,991,594,579,359,139,1604,254,147,170,328,947,1276,1107,68135,1019,237,653,932,155,149,45,75,18,311,792,678,198,582,194,1,76,185,1268
2020/6/10,991,594,579,360,139,1607,254,147,170,328,947,1276,1107,68135,1019,237,653,932,155,149,45,75,18,311,792,684,198,582,195,1,76,185,1268
2020/6/11,991,595,579,361,139,1607,254,147,170,328,947,1276,1107,68135,1019,237,653,932,155,149,45,75,18,311,792,689,198,582,195,1,76,185,1268
2020/6/12,991,601,579,361,139,1608,254,147,171,328,947,1276,1108,68135,1019,237,653,932,155,149,45,75,18,311,792,690,198,583,196,1,76,185,1268
2020/6/13,991,637,580,361,139,1625,254,147,171,328,947,1276,1109,68135,1019,237,653,932,155,151,45,75,18,311,792,691,198,583,196,1,76,185,1268
2020/6/14,991,673,582,362,139,1625,254,147,171,331,947,1276,1109,68135,1019,237,653,932,155,151,45,75,18,313,792,692,198,587,196,1,76,185,1268
2020/6/15,991,700,582,362,139,1628,254,147,171,335,947,1276,1112,68135,1019,238,653,932,155,152,45,75,18,313,792,695,198,588,196,1,76,185,1268
2020/6/16,991,731,582,362,149,1628,254,147,171,336,947,1276,1112,68135,1019,238,653,932,155,152,45,75,18,313,792,695,198,589,196,1,76,185,1269
2020/6/17,991,752,582,362,150,1628,254,147,171,338,947,1276,1120,68135,1019,238,653,932,155,152,45,75,18,314,792,697,198,589,197,1,76,185,1269
2020/6/18,991,777,582,362,151,1631,254,147,171,340,947,1276,1124,68135,1019,238,653,932,155,153,45,75,18,314,792,697,198,589,197,1,76,185,1269
2020/6/19,991,777,582,362,151,1631,254,147,171,340,947,1276,1124,68135,1019,238,653,932,155,153,45,75,18,314,792,697,198,589,197,1,76,185,1269
2020/6/20,991,821,582,363,151,1634,254,147,171,344,947,1276,1128,68135,1019,238,653,932,155,153,45,75,18,316,792,698,198,589,197,1,76,185,1269
2020/6/21,991,830,582,363,151,1634,254,147,171,346,947,1276,1131,68135,1019,238,653,932,155,154,45,75,18,317,792,701,198,589,197,1,76,185,1269
2020/6/22,991,843,582,363,158,1634,254,147,171,346,947,1276,1161,68135,1019,238,654,932,155,154,45,75,18,317,792,701,198,589,198,1,76,185,1269
2020/6/23,991,850,582,363,158,1634,254,147,171,348,947,1276,1177,68135,1019,238,654,932,155,154,45,75,18,319,792,703,198,589,198,1,76,185,1269
2020/6/24,991,863,582,363,161,1635,254,147,171,349,947,1276,1179,68135,1019,238,654,932,155,154,45,75,18,319,792,703,198,589,198,1,76,185,1269
2020/6/25,991,874,582,363,161,1635,254,147,171,349,947,1276,1193,68135,1019,238,654,932,155,154,46,75,18,319,792,705,198,589,198,1,76,185,1269
2020/6/26,991,891,582,363,162,1637,254,147,171,349,947,1276,1196,68135,1019,238,654,932,155,154,46,75,18,319,792,706,198,589,198,1,76,185,1269
2020/6/27,991,905,582,363,163,1637,254,147,171,349,947,1276,1197,68135,1019,238,654,932,155,154,46,75,18,320,792,707,198,589,198,1,76,185,1269
2020/6/28,991,912,582,363,163,1637,254,147,171,349,947,1276,1199,68135,1019,238,654,932,155,155,46,75,18,320,792,708,198,592,198,1,76,185,1269
2020/6/29,991,919,582,363,164,1641,254,147,171,349,947,1276,1203,68135,1019,238,654,932,155,155,46,75,18,320,792,712,198,595,198,1,76,185,1269
2020/6/30,991,922,582,363,164,1641,254,147,171,349,947,1276,1205,68135,1019,238,654,932,155,155,46,75,18,320,792,712,198,595,198,1,76,185,1269
2020/7/1,991,923,582,363,164,1642,254,147,171,349,947,1276,1233,68135,1019,238,654,932,155,155,46,75,18,320,792,713,198,595,198,1,76,185,1269
2020/7/2,991,925,582,363,164,1642,254,147,171,349,947,1276,1242,68135,1019,238,654,932,155,156,46,75,18,320,792,714,198,595,198,1,76,186,1269
2020/7/3,991,926,582,363,164,1643,254,147,171,349,947,1276,1247,68135,1019,238,654,932,155,156,46,75,18,320,792,715,198,595,198,1,76,186,1269
2020/7/4,991,928,582,363,167,1643,254,147,171,349,947,1276,1258,68135,1019,238,654,932,155,156,46,75,18,320,792,716,198,596,199,1,76,186,1269
2020/7/5,991,929,582,363,167,1643,254,147,171,349,947,1276,1268,68135,1019,239,654,932,155,157,46,75,18,321,792,716,198,596,199,1,76,186,1269
2020/7/6,991,929,582,363,167,1643,254,147,171,349,947,1276,1285,68135,1019,240,654,932,155,157,46,75,18,321,792,716,198,596,199,1,76,186,1269
2020/7/7,991,929,582,363,167,1645,254,147,171,349,947,1276,1299,68135,1019,244,654,932,155,159,46,75,18,321,792,718,199,598,199,1,76,187,1269
2020/7/8,991,929,582,363,167,1647,254,147,171,349,947,1276,1323,68135,1019,244,654,932,155,162,46,75,18,321,792,721,199,599,199,1,76,187,1269
